unique_id,ds,value
qty,2023-04-16,1470.6199872051525
qty,2023-04-23,1402.3477394169008
qty,2023-04-30,1336.3848930791496
qty,2023-05-07,1210.294298258953
qty,2023-05-14,1131.0837820234408
qty,2023-05-21,1139.378784848042
qty,2023-05-28,1159.4625955103065
qty,2023-06-04,1174.4727961705553
qty,2023-06-11,1232.6139649787706
qty,2023-06-18,1292.4905725774213
qty,2023-06-25,1280.3167683702236
qty,2023-07-02,1260.5355849230305
qty,2023-07-09,1266.5748894768637
qty,2023-07-16,1212.1092874243645
qty,2023-07-23,1186.098108751029
qty,2023-07-30,1146.9130642801056
qty,2023-08-06,1149.2189214589275
qty,2023-09-03,1169.2634295519144
qty,2023-09-10,1155.7934078567396
qty,2023-09-24,1122.6214759924878
qty,2023-10-01,1149.5941302396923
qty,2023-10-08,1085.7905782471507
qty,2023-10-15,1026.762673136338
qty,2023-10-22,999.4177186539705
qty,2023-10-29,956.5439450915719
qty,2023-11-05,917.6319024343111
qty,2023-11-12,964.1466026398675
qty,2023-11-19,931.9832974242834
qty,2023-11-26,926.4963531445585
qty,2023-12-03,902.5118039490052
qty,2023-12-10,864.3845973921634
qty,2023-12-17,862.5632571564242
qty,2023-12-24,809.0098314590748
qty,2024-01-07,794.8455457013351
qty,2024-01-14,785.1635500169397
qty,2024-01-21,845.1985062409475
qty,2024-01-28,811.0786673426593
qty,2024-02-04,751.9391249991677
qty,2024-02-11,737.2614825601632
qty,2024-02-18,746.5025404185503
qty,2024-02-25,809.1367232044021
qty,2024-03-03,845.0860433940675
qty,2024-03-10,828.6119641548587
qty,2024-03-17,845.2636665558668
qty,2024-03-24,892.0197660237698
qty,2024-03-31,882.878962978976
qty,2024-04-07,815.403923535974
qty,2024-04-14,843.9611146405141
qty,2024-04-21,840.9357390967957
qty,2024-04-28,826.9405506623679
qty,2024-05-05,809.6055699693441
qty,2024-05-12,859.7848801170295
qty,2024-05-19,867.4555413897803
qty,2024-05-26,878.1222865222394
qty,2024-06-02,878.4606790789637
price,2019-06-02,69.74012996753058
price,2019-06-16,68.28188951318624
price,2019-06-23,68.76301836064464
price,2019-07-07,68.44583993266139
price,2019-07-14,67.04219234780555
price,2019-07-21,67.4710500210297
price,2019-07-28,69.28335523529017
price,2019-08-04,69.30904967798612
price,2019-09-01,67.17794201300578
price,2019-09-08,65.47424453508188
price,2019-09-15,65.04428231410654
price,2019-09-22,67.30588434368332
price,2019-09-29,70.29043249040478
price,2019-10-13,73.72288645325432
price,2019-10-20,75.86517817936905
price,2019-10-27,81.48196529512624
price,2019-11-03,78.21880199354995
price,2019-11-10,71.56766020673574
price,2019-11-17,72.95835923489884
price,2019-11-24,76.92321440756855
price,2019-12-01,78.00375785771465
price,2019-12-08,78.35720302062754
price,2019-12-15,80.0654342282493
price,2020-01-12,81.43197733983891
price,2020-01-19,80.39845993276226
price,2020-01-26,79.42023386000606
price,2020-02-02,79.13201238689614
price,2020-02-09,78.39546015051982
price,2020-02-16,77.80622427476324
price,2020-02-23,78.11648384798319
price,2020-03-08,79.16979910512073
price,2020-03-15,80.3918504467843
price,2020-03-22,84.9052276246824
price,2020-04-26,89.17270704745859
price,2020-05-03,81.97962397663869
price,2020-05-10,81.97962397663869
price,2020-05-17,81.97962397663869
price,2020-05-24,82.45496291073655
price,2020-05-31,82.77097093394035
price,2020-06-07,85.82178142250574
price,2020-06-14,88.78009543155369
price,2020-06-28,87.9575041098763
price,2020-07-12,86.41605763397955
price,2020-07-19,86.16584595012321
price,2020-07-26,85.66005150610472
price,2020-08-02,86.0477556463522
price,2020-08-09,87.23570489887393
price,2020-08-30,85.86336356625635
price,2020-09-06,84.98466845004576
price,2020-09-13,77.2000668124102
price,2020-09-20,75.85605327300173
price,2020-09-27,72.09146126956261
price,2020-10-11,72.5898357243047
price,2020-10-18,75.1824569894802
price,2020-10-25,74.17676553735738
price,2020-11-01,71.48141231361939
price,2020-11-15,72.79672989628544
price,2020-11-22,68.2751837922021
price,2020-11-29,69.303213723133
price,2020-12-06,69.56557098314185
price,2020-12-13,66.79941508074782
price,2021-01-03,69.46007754923
price,2021-01-24,67.75595091285692
price,2021-01-31,68.5326962197778
price,2021-02-07,74.00215700748826
price,2021-02-14,73.38839226981452
price,2021-02-21,76.8134360507648
price,2021-02-28,70.06274882060094
price,2021-03-14,70.3643990571961
price,2021-03-21,70.60571924621468
price,2021-03-28,70.82918145791695
price,2021-04-04,73.15992294694125
price,2021-04-11,74.59873835895057
price,2021-04-18,77.00149068902755
price,2021-04-25,76.50065408937223
price,2021-05-02,76.58694432417228
price,2021-05-09,75.16988879210737
price,2021-05-16,75.28751103372333
price,2021-05-23,77.66959706287935
price,2021-05-30,73.85967764952737
price,2021-06-06,66.78032545180156
price,2021-06-13,71.76716945300048
price,2021-06-20,73.30075639589366
price,2021-06-27,72.16329335191413
price,2021-07-11,73.92549182450608
price,2021-07-18,72.7861712373218
price,2021-08-01,81.97962397663869
price,2021-08-08,81.97962397663869
price,2021-08-29,81.97962397663869
price,2021-09-05,81.97962397663869
price,2021-09-12,81.97962397663869
price,2021-09-19,81.97962397663869
price,2021-09-26,81.97962397663869
price,2021-10-03,81.97962397663869
price,2021-10-10,81.97962397663869
price,2021-10-17,81.97962397663869
price,2021-10-24,81.97962397663869
price,2021-10-31,81.97962397663869
price,2021-11-07,81.97962397663869
price,2021-11-14,81.97962397663869
price,2021-11-21,81.97962397663869
price,2021-11-28,81.97962397663869
price,2021-12-05,81.97962397663869
price,2021-12-12,81.97962397663869
price,2021-12-26,81.97962397663869
price,2022-01-02,84.57763731693781
price,2022-01-09,82.27130985354911
price,2022-01-16,79.27079788283811
price,2022-01-23,77.35563830626988
price,2022-01-30,76.35936778787281
price,2022-02-06,75.08589423029798
price,2022-02-20,76.21779114181433
price,2022-02-27,76.4521329134515
price,2022-03-06,76.31190633076119
price,2022-03-13,77.18643415551811
price,2022-03-20,76.96214732441449
price,2022-03-27,81.3315178595318
price,2022-04-03,82.44921428762548
price,2022-04-17,84.7122285729576
price,2022-04-24,84.43689396947718
price,2022-05-01,82.72521517558171
price,2022-05-08,81.26767214046535
price,2022-05-15,78.96747104570558
price,2022-05-22,77.77972683656444
price,2022-05-29,77.49513861210869
price,2022-06-05,76.92411088968694
price,2022-06-12,75.54388871174956
price,2022-06-19,77.44329278758147
price,2022-07-03,76.85406280149375
price,2022-07-10,78.62194071738548
price,2022-07-17,77.04519701835284
price,2022-07-24,75.90015761468227
price,2022-07-31,77.03212609174582
price,2022-08-28,78.17157587339666
price,2022-09-04,77.99826069871733
price,2022-09-18,77.24620855897386
price,2022-09-25,77.05363351384577
price,2022-10-02,75.97028181107662
price,2022-10-09,81.23802544886131
price,2022-10-16,81.21617035908906
price,2022-10-23,81.81116485869983
price,2022-10-30,85.20293188695987
price,2022-11-06,79.93842884290123
price,2022-11-13,79.72896529654321
price,2022-11-20,77.88417223723457
price,2022-11-27,78.60000445645433
price,2022-12-04,77.55700356516347
price,2022-12-11,78.20210285213078
price,2022-12-18,78.61868228170464
price,2022-12-25,79.05469582536371
price,2023-01-01,82.1703280888624
price,2023-01-08,80.18166247108994
price,2023-01-15,80.44079664353862
price,2023-01-22,79.4478873148309
price,2023-01-29,81.76093485186472
price,2023-02-05,82.13364311958702
price,2023-02-12,80.56720020995533
price,2023-02-19,78.77047445367856
price,2023-02-26,87.44515734072064
price,2023-03-05,86.50762587257653
price,2023-03-12,85.23410069806123
price,2023-03-19,85.69202081818925
price,2023-03-26,83.82647379740854
price,2023-04-02,85.17070284745064
price,2023-04-09,86.91966227796053
price,2023-04-16,84.90072982236843
price,2023-04-23,83.65308385789474
price,2023-04-30,87.5794670863158
price,2023-05-07,81.97962397663869
price,2023-05-14,81.97962397663869
price,2023-05-21,81.97962397663869
price,2023-05-28,81.97962397663869
price,2023-06-04,81.97962397663869
price,2023-06-11,81.97962397663869
price,2023-06-18,81.97962397663869
price,2023-06-25,81.97962397663869
price,2023-07-02,81.97962397663869
price,2023-07-09,81.97962397663869
price,2023-07-16,81.97962397663869
price,2023-07-23,81.97962397663869
price,2023-07-30,81.97962397663869
price,2023-08-06,90.38092820302846
price,2023-09-03,88.74624256242278
price,2023-09-10,81.97962397663869
price,2023-09-24,81.97962397663869
price,2023-10-01,81.97962397663869
price,2023-10-08,81.97962397663869
price,2023-10-15,81.97962397663869
price,2023-10-22,81.97962397663869
price,2023-10-29,81.97962397663869
price,2023-11-05,81.97962397663869
price,2023-11-12,86.66176285869011
price,2023-11-19,84.96541028695209
price,2023-11-26,84.22002822956168
price,2023-12-03,81.97727258364935
price,2023-12-10,80.35481806691949
price,2023-12-17,81.97962397663869
price,2023-12-24,81.97962397663869
price,2024-01-07,90.4506468502628
price,2024-01-14,81.97962397663869
price,2024-01-21,89.68398065083488
price,2024-01-28,86.37118452066791
price,2024-02-04,89.43494761653433
price,2024-02-11,90.23062475989414
price,2024-02-18,81.25624980791531
price,2024-02-25,82.92088873522114
price,2024-03-03,84.93221098817692
price,2024-03-10,81.97962397663869
price,2024-03-17,90.25574836576658
price,2024-03-24,81.97962397663869
price,2024-03-31,85.21039006520174
price,2024-04-07,75.0193120521614
price,2024-04-14,79.5632274195069
price,2024-04-21,82.88158193560554
price,2024-04-28,74.06026554848442
price,2024-05-05,80.9148791054542
price,2024-05-12,74.57156995103003
price,2024-05-19,69.49692262749069
price,2024-05-26,65.43720476865921
price,2024-06-02,62.18943048159404
Google_imm,2019-06-02,24.0
Google_imm,2019-06-16,24.0
Google_imm,2019-06-23,23.0
Google_imm,2019-07-07,26.0
Google_imm,2019-07-14,24.0
Google_imm,2019-07-21,24.0
Google_imm,2019-07-28,25.0
Google_imm,2019-08-04,25.0
Google_imm,2019-09-01,23.0
Google_imm,2019-09-08,24.0
Google_imm,2019-09-15,24.0
Google_imm,2019-09-22,21.0
Google_imm,2019-09-29,24.0
Google_imm,2019-10-13,22.0
Google_imm,2019-10-20,24.0
Google_imm,2019-10-27,21.0
Google_imm,2019-11-03,22.0
Google_imm,2019-11-10,24.0
Google_imm,2019-11-17,23.0
Google_imm,2019-11-24,27.0
Google_imm,2019-12-01,27.0
Google_imm,2019-12-08,24.0
Google_imm,2019-12-15,28.0
Google_imm,2020-01-12,26.0
Google_imm,2020-01-19,24.0
Google_imm,2020-01-26,24.0
Google_imm,2020-02-02,23.0
Google_imm,2020-02-09,22.0
Google_imm,2020-02-16,25.0
Google_imm,2020-02-23,23.0
Google_imm,2020-03-08,18.0
Google_imm,2020-03-15,14.0
Google_imm,2020-03-22,14.0
Google_imm,2020-04-26,18.0
Google_imm,2020-05-03,19.0
Google_imm,2020-05-10,20.0
Google_imm,2020-05-17,19.0
Google_imm,2020-05-24,20.0
