date,qty,lvmh_stock_price,kering_stock_price
2020-11-29,3456.391849689653,496.0,606.2000122070312
2020-12-06,3299.525914813771,492.25,601.9000244140625
2020-12-13,3422.783018234334,500.3999938964844,573.5
2020-12-20,3345.595890130679,499.54998779296875,558.0
2020-12-27,3250.0923353740973,496.45001220703125,552.7000122070312
2021-01-03,3174.6027021112263,510.8999938964844,594.4000244140625
2021-01-10,3047.1850295082554,525.2999877929688,586.2999877929688
2021-01-17,2889.1598939948562,493.95001220703125,561.7999877929688
2021-01-24,2827.1199048057706,511.5,544.0
2021-01-31,2935.7299471152846,498.29998779296875,541.5999755859375
2021-02-07,3258.3860896900933,528.7000122070312,549.0
2021-02-14,3384.801953917858,529.2999877929688,547.9000244140625
2021-02-21,3469.706270410107,541.7999877929688,528.0
2021-02-28,3429.5315693549182,525.0,524.9000244140625
2021-03-07,3284.450099715953,523.2000122070312,539.0
2021-03-14,3289.205477876678,563.4000244140625,596.4000244140625
2021-03-21,3186.6336649638884,557.4000244140625,593.5999755859375
2021-03-28,3335.0718791635195,554.9000244140625,564.9000244140625
2021-04-04,3260.384603920762,571.7000122070312,599.4000244140625
2021-04-11,3196.9450139480896,588.2999877929688,611.9000244140625
2021-04-18,3272.7531826441373,630.0,635.0
2021-04-25,3646.4877038754066,628.0999755859375,648.7999877929688
2021-05-02,3886.4310355282355,626.2000122070312,666.5
2021-05-09,4082.463843290694,631.4000244140625,695.0999755859375
2021-05-16,4160.225757574644,628.0999755859375,706.9000244140625
2021-05-23,4274.072949792339,631.5999755859375,719.7999877929688
2021-05-30,4206.147672393297,655.7999877929688,748.7999877929688
2021-06-06,4203.359720745773,651.2000122070312,735.7000122070312
2021-06-13,4062.8334167159087,668.0999755859375,742.9000244140625
2021-06-20,4345.820502925432,681.0999755859375,750.0
2021-06-27,4651.469987353233,673.5999755859375,759.2000122070312
2021-07-04,5177.670151781777,663.4000244140625,734.4000244140625
2021-07-11,5427.7326365089775,662.4000244140625,731.2000122070312
2021-07-18,5792.650803637574,654.2999877929688,731.7999877929688
2021-07-25,5691.917983675747,674.0,747.5999755859375
2021-08-01,5947.274182411544,673.9000244140625,756.2000122070312
2021-08-08,5585.1546244601905,697.4000244140625,782.5
2021-08-15,5404.094845484514,709.7999877929688,788.9000244140625
2021-08-22,5313.564955996675,620.0,652.5
2021-08-29,4989.217122785274,623.0999755859375,668.5999755859375
